"ID","IRR_TL","IMPF","PFV","IRR","Valence","Spanish","English","Morphemes","GlossEnglish","GlossSpanish","TONE.IMPF","TONE.PFV","TONE.IRR","NEG.IMPF","NEG.PFV","NEG.IRR1","NEG.IRR2","IMP","NEG.IMP","pMx","Source","Notes"
"V311","ntasama","ntàsama","ìntàsàma","ntàsàma",,"cambiarse","change clothes","nta-sama","ITER-clothes","ITER-ropa","B.M.M","B.B.B.M","B.B.M",,,,,,,,,
"V312","nana","nána","ìnana","nana",,"fotografiar(lo), dibujar(lo)","take a picture, draw (it)",,,,"A.M","B.M.M","M.M",,,,,,,,,
"V313","nta'a","nta'a","ìnta'a","nta'a",,"cicatrizarse","scar over, form a scar",,,,"M.M","B.M.M","M.M",,,,,,,,,
"V314","xaxan","xáxán","ìxaxan","xaxan",,"regalar","give (as a gift)",,,,"A.A","B.M.M","M.M",,,,,,,,,
"V315","ntxitxa","ntxítxa","ìntxitxa","ntxitxa","intr","derretirse","melt, thaw",,,,"A.M","B.M.M","M.M",,,,,,,,,
"V316","sayaa","sáyaà","ìsayàà","sayàà",,"soltar (dejar caer)","let go, drop","sa-yaa","DO-fall","HACER-caer","A.MB","B.M.BB","M.BB",,,,,,,,,
"V317","ta'ni","tá'nì","ìtà'nì","tà'nì",,"magullarse","bruise",,,,"A.B","B.B.B","B.B",,,,,,,,,
"V318","kuyatxi","kúyatxi","ìkuyatxi","kuyatxi",,"acercarse","approach, go near","ku-yatxi","VBLZ-near","VBLZ-cerca","A.M.M","B.M.M.M","M.M.M",,,,,,,,,
"V319","xo'o","xo'o","ìxo'o","xo'o",,"enfermarse de antojo","get ill (with a craving)",,,,"M.M","B.M.M","M.M",,,,,,,,,
"V320","xini","xínì","ìxìnì","xìnì",,"emborracharse","get drunk",,,,"B.B","B.B.M","B.M",,,,,,,,,
"V321","kasi","sásí","ìsási","kási",,"atajar (cerrar paso)","stop",,,,"A.A","B.A.M","A.M","kòó sásí","kòó nísási",,"ukási",,,,,
"V322","katxa","xátxa","ìxatxa","katxa",,"escavar","dig",,,,"A.M","B.M.M","M.M",,,,,,,,,
"V323","kuchishi","kúchíshí","ìkuchíshí","kuchíshí",,"estar modorro/a","be drowsy","ku-chishi","VBLZ-?","VBLZ-?",,,,,,,,,,,,
"V324","ntichishi","ntíchíshí","ìntichíshí","ntichíshí",,"buscar problemas","look for trouble","nti-chishi","ITER-?","ITER-?",,,,,,,,,,,,
"V325","ntxii","ntxii","ìntxii","ntxii",,"estar tarde","be late",,,,,,,,,,,,,,,
"V326","kukini ini","kúkini ini","ìkukini ini","kukini ini","intr","tener asco","be disgusted","ku-kini-ini","VBLZ-ugly-inside","VBLZ-feo-adentro",,,,,,,,,,,,
"V327","xi'in","xí'in","ìxì'in","xì'in",,"gotear","leak",,,,,,,,,,,,,,,
"V328","kuntaya","ntá'ya","ìnta'ya","kunta'ya",,"estar deprimido","be depressed",,,,,,,,,,,,,,,
"V329","sakua'na","sákua'na","ìsákua'na","sákua'na",,"ahorcar","hang (oneself, sb)","sa-kua'na","DO-?","HACER-?",,,,,,,,,,,,
"V330","xiti","xíti","ìxiti","kuiti",,"barbechar","plow for sowing",,,,,,,,,,,,,,,
"V331","yoso","yósó","ìkòyosó","kòyosó",,"sobrar","to be left over",,,,,,,,,,,,,,,
"V332","kunii","nìi","ìxinii","kunii",,"llevar algo",,,,,,,,,,,,,,,,
"V333","kakanuu","xíkanùù","ìxìkanuu","kakanuu",,"pasear",,,,,,,,,,,,,,,,
"V334","kuntxaka","ntxáka","ìxìntxaka","kuntxaka",,"traer(volver a traer)","bring",,,,,,,,,,,,,,,
"V335","ntxee","ntxée","ìntxèe","ntxèe",,"replantar","plant",,,,,,,,,,,,,,,
"V336","shiko","shíkó","ìshìkó","shìkó",,"vender",,,,,,,,,,,,,,,,
"V337","ntachu'un","ntáchu'un","ìntachu'un","ntachu'un",,"cepillarse el pelo",,,,,,,,,,,,,,,,
"V338",,,,,,,,,,,,,,,,,,,,,,
"V339",,,,,,,,,,,,,,,,,,,,,,
"V340",,,,,,,,,,,,,,,,,,,,,,
"V341",,,,,,,,,,,,,,,,,,,,,,
"V342",,,,,,,,,,,,,,,,,,,,,,
"V343",,,,,,,,,,,,,,,,,,,,,,
"V344",,,,,,,,,,,,,,,,,,,,,,
"V345",,,,,,,,,,,,,,,,,,,,,,
"V346",,,,,,,,,,,,,,,,,,,,,,
"V347",,,,,,,,,,,,,,,,,,,,,,
"V348",,,,,,,,,,,,,,,,,,,,,,
"V349",,,,,,,,,,,,,,,,,,,,,,
"V350",,,,,,,,,,,,,,,,,,,,,,
"V351",,,,,,,,,,,,,,,,,,,,,,
"V352",,,,,,,,,,,,,,,,,,,,,,
"V353",,,,,,,,,,,,,,,,,,,,,,
"V354",,,,,,,,,,,,,,,,,,,,,,
"V355",,,,,,,,,,,,,,,,,,,,,,
"V356",,,,,,,,,,,,,,,,,,,,,,
"V357",,,,,,,,,,,,,,,,,,,,,,
"V358",,,,,,,,,,,,,,,,,,,,,,
"V359",,,,,,,,,,,,,,,,,,,,,,
"V360",,,,,,,,,,,,,,,,,,,,,,
"V361",,,,,,,,,,,,,,,,,,,,,,
"V362",,,,,,,,,,,,,,,,,,,,,,
"V363",,,,,,,,,,,,,,,,,,,,,,
"V364",,,,,,,,,,,,,,,,,,,,,,
"V365",,,,,,,,,,,,,,,,,,,,,,
"V366",,,,,,,,,,,,,,,,,,,,,,
"V367",,,,,,,,,,,,,,,,,,,,,,
"V368",,,,,,,,,,,,,,,,,,,,,,
"V369",,,,,,,,,,,,,,,,,,,,,,
"V370",,,,,,,,,,,,,,,,,,,,,,
"V371",,,,,,,,,,,,,,,,,,,,,,
"V372",,,,,,,,,,,,,,,,,,,,,,
