"ID","Loan","Mixteco","MixtecoToneless","Spanish","English","WordClass","ClasePalabra","Pronoun","Morphemes","GlossEnglish","GlossSpanish","SemanticField","CampoSemántico","ScientificName","LToneChange","ToneMelody","pMX","Source","NotesForm","NotesCulture","NotesMeta"
0371,,"xìtxá","xitxa","mollera","fontanelle","noun","sustantivo",,,,,"body","cuerpo",,,"B.A",,,,,
0372,,"kuè'è ntxì'i","kue'e ntxi'i","erupción de granos","rash","phrase","frase",,"kuè'è-ntxì'i","sickness-pimple","enfermedad-grano","health","salud",,"No","B.B B.M",,,,,
0373,,"txà-sátátán","txa satatan","curandero","male healer","noun","sustantivo",,"txa-sa-tatan","M-do-medicine","M-hacer-medicina","society > people | health","sociedad > gente | salud",,,"B A.A.A",,,,,
0374,,"tàtàn","tatan","medicina","medicine","noun","sustantivo",,,,,"health","salud",,"Yes; 'medicina buena' tàtǎn vè'a'","B.B",,,,,
0375,,"kuè'è sùkùn","kue'e sukun","anginas","tonsillitis","phrase","frase",,"kuè'è-sùkùn","sickness-throat","enfermedad-garganta","health","salud",,"No; maybe  wrong boundary type","B.B B.B",,,,,
0376,,"kuè'è kíní sò'o","kue'e kini so'o","otitis","ear infection","phrase","frase",,"kuè'è-kíní-sò'o","sickness-twist-ear","enfermedad-IMPF.retorcer-oreja","health","salud",,,"B.B A.A B.M",,,,,
0377,,"kuè'è ntáshìtá","kue'e ntashita","calambre","cramp","phrase","frase",,"kuè'è-ntáshìtá","sickness-cramp","enfermedad-calambre","health","salud",,,"B.B A.B.A",,,,,
0378,"L","rriúmá","rriuma","reuma(tísmo)","rheumatism","noun","sustantivo",,,,,"health","salud",,,"A.A",,,,,
0379,,"ka'nì","ka'ni","calentura, fiebre","fever","noun","sustantivo",,,,,"health","salud",,,"M.B",,,,,
0380,"L","kánsèr","kanser","cáncer","cancer","noun","sustantivo",,,,,"health","salud",,,"A.B",,,,,
0381,,"tàchí txìxin","tachi txixin","gastritis","have gas","phrase","frase",,"tàchì-txìxin","air-belly","aire-panza","health","salud",,"tàchì L.L in isolatino -> tàchǐ L.R in compound","B.BA B.M",,,"check the tone on the second syllable of tachii; AVB: 'aire' in the database appears as 'tàchi'",,
0382,,"ntxì'i shíchi","ntxi'i shichi","viruela ","smallpox","noun","sustantivo",,"ntxì'i-shíchi","blemish-bathe","grano-bañarse","health","salud",,,"B.M A.M",,,,"You would get boil filled with water and it didn't heal properly, you would get a mark/spot on the body",
0383,,"ntxì'i kuá'a","ntxi'i kua'a","escarlatina","scarlet fever","noun","sustantivo",,"ntxì'i-kuá'a","blemish-red","grano-rojo","health","salud",,,"B.M A.M",,,"kuá'á red in isolation, but here AM ","It does go away without treatment; it's not as serious as smallpox; it doesn't leave traces on the body",
0384,,"jààn","jaan","ese/esa, allí, ahí","this, there","demonstrative","demonstrativo",,,,,"space","espacio",,,"BB",,,,,
0385,,"kaxi","kaxi","muy frío y humedo","very cold and humid","adjective","adjetivo",,,,,"temperature","temperatura",,,"M.M",,,,"used mainly for land; doesn't apply to illness",
0386,,"txà-tàsí","txa tasi","brujo","witch","noun","sustantivo",,"txà-tàsí","M-witch","M-brujo","society > people","sociedad > gente",,,"B B.A",,,,,
0387,,"túmí","tumi","ajuate","prickle","noun","sustantivo",,,,,"plant","planta",,,"A.A",,,,,
0388,,"ìshí","ishi","terciopelo","velvet","noun","sustantivo",,,,,"clothes | material","ropa | material",,,"B.A",,,,,
0389,,"ntivi","ntivi","bonito","pretty","adjective","adjetivo",,,,,,,,,"M.M",,,,,
0390,,"yàtà","yata","arado, coa","plow, hoe","noun","sustantivo",,,,,"agriculture","agricultura",,,"B.B",,,,,
0391,,"vavi nta'à","vavi nta'a","muñeca","wrist","noun","sustantivo",,"vavi-nta'à","joint?-hand",,"body","cuerpo",,,"M.M M.B",,,,,
0392,,"vavi shìnì nta'à","vavi shini nta'a","nudillo","knuckle","noun","sustantivo",,"vavi-shìnì-nta'à","joint?-head-hand",,"body","cuerpo",,"No; ","M.M B.B M.B",,,,,
0393,,"làtá","lata","paloma","pigeon","noun","sustantivo",,,,,"body","cuerpo",,,,,,,,
0394,,"chíìn xa'à","chiin xa'a","uña del pie","toenail","noun","sustantivo",,"chíìn-xa'à","nail-foot","uña-pie","body","cuerpo",,,"AB M.B",,,,,
0395,,"chíìn nta'à","chiin nta'a","uña de mano","fingernail","noun","sustantivo",,"chíìn-nta'à","nail-hand","uña-mano","body","cuerpo",,,"AB M.B",,,,,
0396,,"chòò","choo","hombro","shoulder","noun","sustantivo",,,,,"body","cuerpo",,,"BB",,,,,
0397,,"tokò","toko","cintura","waist","noun","sustantivo",,,,,"body","cuerpo",,,"M.B",,,,,
0398,,"kisi nìì","kisi nii","tobillo","ankle","noun","sustantivo",,"kisi-nìì","bone-salt?","hueso-sal?","body","cuerpo",,,"M.M BB",,,,,
0399,,"shìnì xá'à","shini xa'a","dedo del pie","toe","noun","sustantivo",,"shìnì-xa'à","head-foot","cabeza-pie","body","cuerpo",,"xa'à M.L in isolation -> xá'à H.L in compound; inserted H associates right of word boundary","B.B A.B",,,,,
0400,,"txá'à","txa'a","chaparro, bajo","short (of height)","adjective","adjetivo",,,,,"size","tamaño",,,"A.B",,,,,
0401,"L","vexíná","vexina","cocina","kitchen","noun","sustantivo",,"ve-xíná","house-kitchen","casa-cocina","cooking","cocinar",,,"M.A.A",,,,,
0402,"L","éstúfá","estufa","estufa","stove","noun","sustantivo",,,,,"cooking","cocinar",,,"A.A.A",,,,,
0403,,"txìkàsí","txikasi","cucharón de madera","wooden ladle","noun","sustantivo",,,,,"cooking","cocinar",,,"B.B.A",,,,,
0404,,"yuchì","yuchi","cuchillo","knife","noun","sustantivo",,,,,"cooking","cocinar",,,"M.B",,,,,
0405,,"kò'ò","ko'o","plato","plate","noun","sustantivo",,,,,"cooking","cocinar",,,"B.B",,,,,
0406,"L","sártéèn","sarteen","sartén","frying pan","noun","sustantivo","-an",,,,"cooking","cocinar",,,"A.AB",,,,,
0407,,"kò'ò kúnú","ko'o kunu","plato hondo","soup bowl","noun","sustantivo",,"kò'ò-kúnú","plate-deep","plato-profundo","cooking","cocinar",,,"B.B A.A",,,,,
0408,,"kúnú","kunu","profundo, hondo","deep","adjective","adjetivo",,,,,,,,,"A.A",,,,,
0409,,"kò'ò ntxíkà","kò'ò ntxika","plato ancho","wide plate; salad plate","noun","sustantivo",,"kò'ò-ntxíkà","plate-wide","plato-ancho","cooking","cocinar",,,"B.B A.B",,,,,
0410,,"kò'ò sháshì","ko'o shashi","chilmolera, molcajete","mortar","noun","sustantivo",,"kò'ò-sháshì","plate-crush","plato-aplastar","cooking","cocinar",,,"B.B A.B",,,,,
0411,,"yìì sháshì","yii shashi","molcajete/tejolote","pestle (mortar stone) ","noun","sustantivo",,"yìì-sháshì","stone-crush","piedra-aplastar","cooking","cocinar",,,"BB A.B",,,,,
0412,,"ntayàsa","ntayasa","metlapil, mano de metate","grindstone for quern","noun","sustantivo",,"nta-yàsa","hand-?","mano-?","cooking","cocinar",,"No; possibly wrong boundary type","M.B B.M",,,,,
0413,"L","kúchárá","kuchara","cuchara","spoon","noun","sustantivo",,,,,"cooking","cocinar",,,"A.A.A",,,,,
0414,"L","trínchí","trinchi","tenedor","fork","noun","sustantivo",,,,,"cooking","cocinar",,,"A.A",,,,,
0415,"L","vásó","vaso","vaso","glass (for drinking)","noun","sustantivo",,,,,"cooking","cocinar",,,"A.A",,,,,
0416,"L","járra","jarra","jarra","pitcher","noun","sustantivo",,,,,"cooking","cocinar",,,"A.M",,,,,
0417,,"nàmà","nama","jabón","soap","noun","sustantivo",,,,,"cooking","cocinar",,,"B.B",,,,,
0418,"L","órnó","orno","horno","oven","noun","sustantivo",,,,,"cooking","cocinar",,,"A.A",,,,,
0419,"L","páàn","paan","pan","bread","noun","sustantivo",,,,,"food","comida",,,"AB",,,,,
0420,,"shìtà lásun","shita kasun","tostada","fried tortilla","noun","sustantivo",,"shìtà-lásun","tortilla-fried","tortilla-frita","food","comida",,,"B.B A.A",,,,,
0421,,"shìtà lakuáán","shita lakuaan","tortilla seca","dried-out tortilla","noun","sustantivo",,"shìtà-lakuáán","tortilla-be.dry","tortilla-está.seca","food","comida",,,"B.B A.A",,,,"Not good for eating, but can be used for making chilaquiles (JCF).",
0422,,"ntìì","ntii","hueso de fruta","stone of a fruit","noun","sustantivo",,,,,"plant > fruit","planta > fruta",,,"BB",,,,,
0423,"L","chilakílí","chilakili","chilaquiles","chilaquiles","noun","sustantivo",,,,,"food","comida",,,"M.M.A.A",,,,"In Mexico, chilaquiles are made with a little bit of oil, chili onions, salt, and water. When they come to a boil, tortillas are cut in four or six pieces and combined with the sauce. No blender is used. No cheese or lettuce is used. It's more of a heavy soup or stew (JCF).",
0424,"L","mésá","mesa","mesa","table","noun","sustantivo",,,,,"furniture","mobiliario",,,"A.A",,,,,
0425,"L","mansáná","mansana","manzana","apple","noun","sustantivo",,,,,"plant > fruit","planta > fruta",,,"M.A.A",,,,,
0426,,"itxì","itxi","vela","candle","noun","sustantivo",,,,,"fire","lumbre",,,"M.B",,,,,
0427,,"chìsùn","chisun","avispa; mayate","wasp; figeater beetle","noun","sustantivo",,,,,"animal > insect","animal > insecto",,,,,,,,
0428,,"yì'ǐ sò'o","yi'i so'o","orilla de la oreja","outer ear","noun","sustantivo",,"yì'ì-sò'o","edge-ear","orilla-oreja","body","cuerpo",,"yì'ì L.L in isolation -> yì'í L.H in compound","B.A B.M",,,,,
0429,,"txìkaá sùkùn","txikaa sukun","manzana de Adán","Adam's apple","noun","sustantivo",,"txìkaá-sùkùn","snail.shell-neck","conchitas.caracol-cuello","body","cuerpo",,,"B.MA B.B",,,,,
0430,,"ishǐ shè'lè","ishi she'le","pelo de axila","armpit hair","noun","sustantivo",,"ishǐ-shè'lè","hair-armpit","pelo-axila","body","cuerpo",,"ishì M.L in isolation -> ishí M.H in compound","M.A B.B",,,,,
0431,,"txìsà","txisa","pene","penis","noun","sustantivo",,,,,"body","cuerpo",,,"B.B",,,,,
0432,,"ishí nùú yìì","ishi nuu yii","vello púbico","pubic hair","noun","sustantivo",,"ishì-nùù-yìì","hair-surface-private.part","pelo-superficie-parte.privado","body","cuerpo",,"ishì M.L in isolation -> ishí M.H in compound; nùù LL in isolation -> nùú LH in compound","M.A BA BB",,,,,
0433,,"ntxìvì","ntxivi","testículo","testicles","noun","sustantivo",,,,,"body","cuerpo",,,"B.B",,,"lit: eggs/huevos",,
0434,,"ko'nto xa'à","ko'nto xa'a","canilla, espinilla","shin","noun","sustantivo",,"ko'nto-xa'à","bone-foot","hueso-pie","body","cuerpo",,,"M.M M.B",,,,,
0435,,"sì'ìntxì xa'à","si'intxi xa'a","talón","heel","noun","sustantivo",,"sì'ìn-txì-xa'à","leg-?-foot","pierna-?-pie","body","cuerpo",,,"B.B.B M.B",,,,,
0436,,"kà'á sìkìn","ka'a sikin","nuca","nape of neck","noun","sustantivo",,"kà'á-sìkìn","rear-peak","atrás-cima","body","cuerpo",,"?","B.A B.B",,,,,
0437,,"sà'nta","sa'nta","chamorro","back of leg/calf","noun","sustantivo",,,,,"body","cuerpo",,,"B.M",,,,,
0438,,"kùñu nùù","kuñu nuu","cachete","cheek (of face)","noun","sustantivo",,,,,"body","cuerpo",,,"B.M BB",,,"lit: meat face (AZF)",,
0439,,"shàa","shaa","mentón, barbilla","chin","noun","sustantivo",,,,,"body","cuerpo",,,"BM",,,,,
0440,,"ntosò","ntoso","seno","breast","noun","sustantivo",,,,,"body","cuerpo",,,"M.B",,,,,
0441,,"shìnǐ ntosò","shini ntoso","pezón","nipple","noun","sustantivo",,"shìnì-ntosò","head-breast","cabeza-pecho","body","cuerpo",,"shìnì L.L in isolation -> shìní L.H in compound","B.A M.B",,,,,
0442,,"nùù íní ","nu ini","vientre, abdomen","abdomen","noun","sustantivo",,"nùù-íní","face-inside","cara-adentro","body","cuerpo",,"No; not before H tone","BB A.A",,,,,
0443,,"nùú yìì","nuu yii","parte(s) privada(s)","private part(s)","noun","sustantivo",,"nùú-yìì","face-private.part","cara-parte.privado","body","cuerpo",,"nùù LL in isolation -> nùú LH in compound","BA BB.",,,,,
0444,"L","áxítxí","axitxi","aceite","oil","noun","sustantivo","-ra",,,,"food","comida",,,"A.A.A",,,,,
0445,,"ya'á ntìkàa","ya'a ntikaa","clavo","clove","noun","sustantivo",,"yà'a-ntikàa","chili-?","chile-?","food","comida",,,"B.M M.BM",,,,,
0446,,"yìkì kinì ","yiki kini","orégano","oregano","noun","sustantivo",,"yìkì-kinì","herb-pig-(note-on-gloss:-kinì-is-the-word-for-'pig'-used-in-San-Martín-Peras)","hierba-?","food","comida",,,"B.B M.B",,,,,
0447,,"txìkomi","txikomi","ajo","garlic","noun","sustantivo","-ri",,,,"food","comida",,,"B.M.M",,,,,
0448,,"ya'á ìchí","ya'a ichi","chile seco","dried chili","noun","sustantivo",,"ya'à-ìchí","chili-dry","chile-seco","food","comida",,,"M.B B.A",,,,,
0449,,"shìtǎ ìchí","shita ichi","tortilla seca","dried tortilla","noun","sustantivo",,"shìtá-ìchí","tortilla-dry","tortilla-seca","food","comida",,,"B.A  B.A",,,,"This type of tortilla is less dried-out and crumbly than shìtà lákuán. It could be a tortilla from the day before. (JCF)",
0450,"L","sévóyá","sevoya","cebolla","onion","noun","sustantivo","-ri",,,,"food","comida",,,"A.A.A",,,,,
0451,"L","kónsóméè","konsomee","consomé","powder to make broth; bouillon","noun","sustantivo",,,,,"food","comida",,,"A.A.AB",,,,,
0452,"L","róyáàl","royaal","levadura en polvo","(Royal brand) baking powder","noun","sustantivo",,,,,"food","comida",,,"A.AB",,,,,
0453,"L","áróòs","aroos","arroz","rice","noun","sustantivo",,,,,"food","comida",,,"A.AB",,,,,
0454,,"txìyá'á","txiya'a","salsa","salsa","noun","sustantivo","-ra",,,,"food","comida",,,"B.A.A",,,,,
0455,,"núnùún (Syn.)","nunuun","primero","first","noun","sustantivo",,,,,"quantity","quantidad",,,"A.BA",,,,,
0456,,"kuà'à","kua'a","mucho/as, mucho/a","many, much, a lot","adverb","adverbio",,,,,"quantity","quantidad",,"Maybe not before LL nouns because of boundary type; not change before LL kuìkà 'comb'","B.B",,,,,
0457,,"kolo","kolo","pavo (en general o m)","turkey (in general), male turkey","noun","sustantivo",,,,,"animal","animal",,,"M.M",,,,,
0458,,"kóní","koni","guajolota (f)","female turkey","noun","sustantivo",,,,,"animal","animal",,,"A.A",,,,,
0459,,"txà-vàlí","txavali","niños (pl)","boys (pl)","noun","sustantivo",,"txa-vali","M-small","M-pequeño","society > people","sociedad > gente",,,"B.B.A",,,,,
0460,,"rà-vàlí","ra-vali","niños (pl)","boys (pl)","noun","sustantivo",,"rà-vàlí","M-small","M-pequeño","society > people","sociedad > gente",,,"B.B.A",,,,,
0461,"L","tóntó","tonto","muy, mucho","intensifier (a lot)","?","?",,,,,"quantity","quantidad",,,"A.A",,,,,
0462,,"soo","soo","pero","but","conjunction","conjunción",,,,,,,,,"MM",,,"Carmen commented that this might be better spelled ""suu"" (JF).",,
0463,"L","mátómá","matoma","mayordomía","stewardship","noun","sustantivo",,,,,"society","sociedad",,,"A.A.A",,,,,
0464,,"to'ó","to'o","santo","saint","noun","sustantivo",,,,,"society","sociedad",,,"M.A",,,,,
0465,"L","skuélá","skuela","escuela","school","noun","sustantivo",,,,,"society > school","sociedad > religión",,,"A.A.A",,,,,
0466,,"ita yova yàà","ita yova yaa","huauzontle","hairy amaranth","noun","sustantivo",,"ita-yova-yàà","flower-amaranth-ash","flor-quelite-ceniza","plant | food","planta | comida","Chenopodium nuttalliae",,"MM MM ",,,,,
0467,,"txìnana ntxe'e","txinana ntxe'e","jitomate","red tomato","noun","sustantivo",,"txìnana-ntxe'e","tomato-?","tomate-?","plant > vegetable","planta > verdura",,,"B.M.M M.M",,,,,
0468,,"txìshìí","txishii","iguana?","iguana?","noun","sustantivo",,,,,"animal","animal",,,,,,,,
0469,,"txìmii","tximii","abejorro","bumblebee","noun","sustantivo",,,,,"animal > insect","animal > insecto",,,,,,,,
0470,,"yòó xàá","yoo xaa","luna nueva","new moon","noun","sustantivo",,"yòó-xàá","moon-new","luna-nueva","cosmology","cosmología",,"I think it does","BB BA",,,,"""Necesito cuidar la luna nueva para poder sembrar.""; ""‘Cuando pasen 3 días de la luna nueva entonces podemos sembrar lo que quieramos para que dé (mucho) fruto.""",
0471,,"távà","tava","para","in order to","conjunction","conjunción",,,,,,,,,"A.B",,,,,
0472,,"sáàn ","saan","hasta, entonces","until, then","conjunction","conjunción",,,,,,,,,"AB",,,,,
0473,,"txìkosó","txikoso","grillo","cricket","noun","sustantivo",,,,,"animal > insect","animal > insecto",,,,,,,,
0474,,"chítí yikí","chiti yiki","gato montes","(type of mountain lion)","noun","sustantivo",,,,,"animal > mammal","animal > mamífero",,,,,,,,
0475,,"xí'ì yòò","xi'i yoo","luna menguante","waning moon","noun","sustantivo",,"xi'i-yoo","die-moon",,"cosmology","cosmología",,,"A.B BB",,,,"""Cuando la luna está moriendo y sembramos no crece, muere.""",
0476,"L","totóòr","totoor","doctor","doctor","noun","sustantivo",,,,,"society > people","sociedad > gente",,,"M.AB",,,,,
0477,"L","mígo","migo","amigo","friend","noun","sustantivo",,,,,"society > people","sociedad > gente",,,"A.M",,,,,
0478,,"ntxikama","ntxikama","mosca","fly","noun","sustantivo",,"ntxi-kama","ANIM-quickly","ANIM-rápido","animal > insect","animal > insecto",,,,,,,,
0479,,"ntuxí","ntuxi","pollo","chicken","noun","sustantivo",,,,,"animal > bird | food","animal > pájaro | comida",,,"B.A",,,,,
0480,,"shátún","shatun","ùltimo (de la familia, de la estación)","last one (of the season, of the family)","?","?",,,,,"time","tiempo",,,"A.A",,,,,
0481,,"tùntóvá ntòò ","tuntova ntoo","hierba santa, hoja santa","Mexican pepperleaf","noun","sustantivo",,"tù-ntòvá-ntòò","TREE-guaje-cane","ARB-guaje-caña","plant","planta","Piper auritum",,"B.B.A BB",,,,,
0482,,"tùntóvá ","tuntova","árbol de guaje","white leadtree","noun","sustantivo",,"tù-ntóvá","TREE-guaje","ARB-guaje","plant > tree","planta > árbol","Leucaena leucocephala",,"B.B.A",,,,,
0483,,"yavì si'í","yavi si'i","ano","anus","noun","sustantivo",,"yavì-si'í","hole-feces","agujero-excremento","body","cuerpo",,,"M.B M.A",,,,,
0484,,"mìnustílá","minustila","yerbabuena","mint","noun","sustantivo",,"mìnu-stílá","edible.herb-?","hierba.comestible-?","plant > herb","planta > hierba",,,"B.M.A.A",,,,,
0485,,"ita shini","ita shini","flor de pericón ","sweet-scented marigold","noun","sustantivo",,"ita-shini","flower-head?","flor-cabeza?","plant > flower","planta > flor","Tagetes lucida",,"M.M M.M",,,,,
0486,,"chísó","chiso","pilón","bonus, extra","noun","sustantivo",,,,,"society","sociedad",,,"A.A",,,,,
0487,"L","kánélá","kanela","canela","cinnamon","noun","sustantivo",,,,,"food","comida",,,"A.A.A",,,,,
0488,,"là'là (Syn.)","la'la","lodo (con agua)","mud (with water)","noun","sustantivo",,,,,"material | nature","material | naturaleza",,,"B.B   ",,,,,
0489,,"ñàmà","ñama","rastrojo (milpa)","cleared field","noun","sustantivo",,,,,"agriculture","agricultura",,,"B.B","*yawa̱ʔ","Josserand83:108","milpa specifically",,
0490,,"yí'vì","yi'vi","brilloso","shiny ","adjective","adjetivo",,,,,,,,,"A.B",,,,,
0491,"L","ita rròsá","ita rrosa","rosa","rose","noun","sustantivo",,"ita-rròsá","flower-rose","flor-rosa","plant > flower","planta > flor",,,"M.M B.A",,,"For 'white rose' you add 'kuíxín' at the end: ita rrosà kuíxín",,
0492,"L","ita kartúchó","ita kartucho","alcatraz (también cartucho)","arum lily, calla lily","noun","sustantivo",,"ita-kartúchó","flower-cartucho","flor-cartucho","plant > flower","planta > flor","Zantedeschia aethiopica",,"M.M M.A.A",,,,,
0493,,"yìkì kuíì","yiki kuii","palmilla","parlour palm","noun","sustantivo",,"yìkì-kuíì","herb-green","hierba-?","plant","planta","Collinia elegans",,"B.B AB",,,"This word is used for several plants that are green and have no flowers; I think it's more of a generic term than plant-specific",,
0494,,"ìshí","ishi","peludo, barbudo","hairy","adjective","adjetivo",,,,,"body","cuerpo",,,"B.A",,,"this adjective is derived from the noun 'hair' by tone change",,
0495,,"ishì","ishi","pelo","hair","noun","sustantivo",,,,,"body","cuerpo",,"Yes","M.B",,,,,
0496,,"nùù shásha (syn.)","nuu shasha","abdomen, vientre","abdomen","noun","sustantivo",,"nùù-shásha","where-urine?","dónde-orina?","body","cuerpo",,,"BB A.M",,,,,
0497,,"ko'nto txe'e ka'à","ko'nto txe'e ka'a","rabadilla, hueso de la cadera","tailbone","noun","sustantivo",,"ko'nto-txe'e-ka'à","bone-hard-rear","hueso-duro-pompis","body","cuerpo",,,,,,,,
0498,"L","várá ntxìka","vara ntxika","clavícula","clavicle","noun","sustantivo",,"várá-ntxìka","stick-chest","vara-pecho","body","cuerpo",,,"A.A B.M",,,,,
0499,,"xitxi yova","xitxi yova","estómago (órgano)","stomach (organ)","noun","sustantivo",,"xitxi-yova","tripe-?","tripa-?","body","cuerpo",,,"M.M M.M",,,,,
0500,,"kàa","kaa","páncreas","pancreas","noun","sustantivo",,,,,"body","cuerpo",,,"BM",,,,,
0501,,"kàguà","kagua","hiel","bile","noun","sustantivo",,,,,"body","cuerpo",,,"B.B",,,,,
0502,,"xá'á","xa'a","nixtamal","leached corn","noun","sustantivo",,,,,"food","comida",,,"A.A",,,"nixtamal- cuando se lava el maíx para hacer pozole y tortillas",,
0504,,"shìntxikin","shintxikin","cerebro","brain","noun","sustantivo",,"shini-ntxikin","head-horn?","cabeza-cuerno?","body","cuerpo",,,"B.M.M",,,,,
0505,"L","óórá","oora","hora","hour","noun","sustantivo",,,,,"time","tiempo",,,"A.A",,,,,
0506,,"chii","chii","porque","so that; because","conjunction","conjunción",,,,,,,,,"MM","*wati","Josserand83:114",,,
0507,,"txìkáká","txikaka","cuervo","raven, crow","noun","sustantivo",,,,,"animal > bird","animal > pájaro",,,,,,,,
0508,,"sikísò'o","sikiso'o","arete","earring","noun","sustantivo",,"sikí-sò'o","?-ear","?-oreja","jewelry","joyería",,,,,,,,
0509,,"ta xàà","ta xaa","hasta","until","conjunction","conjunción",,,,,,,,,"A.MB",,,,,
0510,,"ntxikuíí","ntxikuii","todo","all","quantifier","cuantificador",,,,,"quantity","quantidad",,,"M.AA",,,,,
0511,,"sòò","soo","cáscara","hull, peel, skin","noun","sustantivo",,,,,"plant","planta",,,"BB",,,,,
0512,,"ná'nu","na'nu","grande (PL, de cosa)","big (PL, of thing)","adjective","adjetivo",,,,,"size","tamaño",,,"A.M",,,,,
0513,,"kuátxí","kuatxi","gemelo","twin","noun","sustantivo",,,,,"society > kinship","sociedad > parentesco",,,"A.A",,,,,
0514,,"tù-yá'à","tu-ya'a","chilar","chile plant","noun","sustantivo",,"tu-ya'a","TREE-chili","ARB-","plant","planta",,,"B.A.B",,,,,
0515,,"yìkì lòtá","yiki lota","ruda","rue","noun","sustantivo",,"yìkì-lòtá","herb-?","hierba-?","plant","planta",,"No","B.B B.A",,,,"Herb used to treat mal de ojo",
0516,,"txìntò'ò","ntxinto'o","jarra","pitcher","noun","sustantivo",,,,,"container","envase",,,"B.B.B",,,"Native word for 'jarra', as opposed to the loanwords",,
0517,,"vitá ini","vita ini","débil","weak","adjective","adjetivo",,"vitá-ini","soft-inside","blando-ser",,,,,"M.B M.M",,,,,
0518,,"núú ini","nuu ini","débil, sensible, delicado","weak, sensitive, delicate","adjective","adjetivo",,"núú-ini","cheap-inside","barato-ser",,,,,"AA M.M",,,,,
0519,,"núú","nuu","barato","cheap","adjective","adjetivo",,,,,,,,,"AA",,,,,
0520,,"yakuà","yakua","mugre","filth","noun","sustantivo",,,,,,,,,"M.B",,,,,
0521,,"to'ó lò'ó","to'o lo'lo","iris del ojo","iris (eye)","noun","sustantivo",,"to'ó-lò'ó","saint-eye","santo-ojo","body","cuerpo",,,"M.A B.A",,,,,
0522,,"to'ó nùùn","to'o nuun","iris del ojo","iris (eye)","noun","sustantivo",,"to'ó-nùùn","saint-face","santo-cara","body","cuerpo",,,"M.A B.B",,,,,
0523,,"yikíntxíká","yikintxika","costilla","rib","noun","sustantivo",,"yiki-ntxika","shy-chest","tímido-pecho","body","cuerpo",,,"M.A.A.A",,,,,
0524,,"xitxi ntxeé","xitxi ntxee","intestino grueso","large intestine","noun","sustantivo",,"xitxi-ntxeé","tripe-thick","tripa-grueso","body","cuerpo",,,"M.M MA",,,,,
0525,,"xitxi kuíìn","xitxi kuiin","intenstino delgado","small intestine","noun","sustantivo",,"xitxi-kuíìn","tripe-thin","tripa-delagdo","body","cuerpo",,,"M.M AB",,,,,
0526,"L","vásó","vaso","bazo","spleen","noun","sustantivo",,,,,"body","cuerpo",,,"A.A ",,,,,
0527,,"nto'ò xitxi ntxeé","nto'o xitxi ntxee","apendice","appendix","noun","sustantivo",,"nto'ò-xitxi-ntxeé","tail-tripe-thick","cola-tripa-grueso","body","cuerpo",,,"M.B M.M MA",,,,,
0528,,"ñà'mà","ña'ma","pulmón","lung","noun","sustantivo",,,,,"body","cuerpo",,,"B.B",,,,,
0529,,"ko'nto shìnì","ko'nto shini","cráneo","skull","noun","sustantivo",,"ko'nto-shìnì","bone-head","hueso-cabeza","body","cuerpo",,,"M.M B.B",,,,,
0530,,"shina ñú'ún (Syn.)","shina ñu'un","primero (en contexto de hacer algo)","first (of doing something)","?","?",,,,,,,,,"M.M.A.A",,,,,
0531,,"ñú'ún","ñu'un","delicado","delicate","adjective","adjetivo",,,,,,,,,"A.A",,,,,
0532,,"tiki","tiki","de nuevo, otra vez","again","adverb","adverbio",,,,,,,,,"M.M",,,,,
0533,,"tíí","tii","si","if","conjunction","conjunción",,,,,,,,,"AA",,,,,
0534,,"txìkòva","txikova","mariposa","butterfly","noun","sustantivo",,,,,"animal > insect","animal > insecto",,,,,,,,
0535,,"tosó","toso","jorobado","hunchback","noun","sustantivo",,,,,"body","cuerpo",,,"M.A",,,"adjectival high on arco?-AZF",,
0536,,"tòso","toso","arco","arch","noun","sustantivo",,,,,,,,,"B.A",,,,,
0537,,"txìtosó","txitoso","gusano medidor","inch worm","noun","sustantivo",,,,,"animal","animal",,,"B.M.A",,,,,
0538,,"taya","taya","aflojado","loose","adjective","adjetivo",,,,,,,,,"M.M",,,,,
0539,,"txìxin","txixin","debajo de","underneath","preposition","preposición",,,,,"space","espacio",,,"B.M",,,,,
0540,"L","máistrá, máistró","maistra, maistro","maestra, maestro","teacher","noun","sustantivo",,,,,"society > school","sociedad > religión",,,"A.A",,,,,
0541,,"txà-síkua'a","txa sikua'a","estudiante (hombre)","student (male)","noun","sustantivo",,"txà-síkua'a","M-study","M-estudiar","society > school","sociedad > religión",,,"B A.M.M",,,"feminine (ñá) and plural (nà) forms predictable",,
0542,,"txeì","txei","silla","chair","noun","sustantivo",,,,,"furniture","mobiliario",,,"M.B",,,,,
0543,"L","lámétá","lameta","botella","bottle ","noun","sustantivo",,,,,"container","envase",,,"A.A.A",,,,,
0544,,"ñá-txìko'nto","ña-txiko'nto","muerta (la huesuda)","death (personification)","noun","sustantivo",,"ñá-txìko'nto","F-skeletal.one","F-huesuda",,,,,"A B.M.M",,,,,
0545,"L","tú múxikà","tu muxika","trompeta","trumpet","noun","sustantivo",,"tú-múxikà","TREE-music","ARB-música","music","música",,,"A A.M.B",,,,,
0546,"L","gítárrá","gitarra","guitarra","guitar","noun","sustantivo",,,,,"music","música",,,"A.A.A",,,,,
0547,"L","lóró","loro","loro","parrot","noun","sustantivo",,,,,"animal > bird","animal > pájaro",,,"A.A",,,,,
